id,Name,Manufacturer,Fan RPM,Noise Level,Color,Height,Water Cooled,Fanless,Price,Url
78,ARCTIC Liquid Freezer II 280 A-RGB 68.9 CFM Liquid CPU Cooler (ACFRE00106A),ARCTIC,200 - 1900 RPM,22.5 dB,Black,138 mm,Yes - 280 mm,No,€104.90,https://fi.pcpartpicker.com/product/HZvdnQ/arctic-liquid-freezer-ii-280-a-rgb-689-cfm-liquid-cpu-cooler-acfre00106a
79,Lian Li GALAHAD AIO 360 RGB 69.17 CFM Liquid CPU Cooler (GALAHAD AIO 360 RGB WHITE),Lian Li,800 - 1900 RPM,,White / Silver,,Yes - 360 mm,No,€149.90,https://fi.pcpartpicker.com/product/gcsnTW/lian-li-galahad-aio-360-rgb-6917-cfm-liquid-cpu-cooler-galahad-aio-360-rgb-white
80,Noctua NH-D9L 46.44 CFM CPU Cooler (NH-D9L),Noctua,400 - 2000 RPM,16.3 - 22.8 dB,,110 mm,No,No,€51.90,https://fi.pcpartpicker.com/product/8pgPxr/noctua-nh-d9l-4644-cfm-cpu-cooler-nh-d9l
81,Noctua NH-D15S 82.52 CFM CPU Cooler (NH-D15S),Noctua,300 - 1500 RPM,19.2 - 24.6 dB,,160 mm,No,No,€86.90,https://fi.pcpartpicker.com/product/xCL7YJ/noctua-nh-d15s-8252-cfm-cpu-cooler-nh-d15s
82,Corsair iCUE H60i RGB PRO XT 75 CFM Liquid CPU Cooler (CW-9060049-WW),Corsair,2400 RPM,10 - 37 dB,Black,,Yes - 120 mm,No,€102.90,https://fi.pcpartpicker.com/product/HVtKHx/corsair-icue-h60i-rgb-pro-xt-75-cfm-liquid-cpu-cooler-cw-9060049-ww
83,ARCTIC Freezer i35 A-RGB CPU Cooler (ACFRE00104A),ARCTIC,200 - 1700 RPM,,Black,158 mm,No,No,€42.90,https://fi.pcpartpicker.com/product/XwH7YJ/arctic-freezer-i35-a-rgb-cpu-cooler-acfre00104a
84,MSI MEG CORELIQUID S360 56.2 CFM Liquid CPU Cooler (MEG CoreLiquid S360),MSI,,22.7 dB,Black,,Yes - 360 mm,No,€289.00,https://fi.pcpartpicker.com/product/LGH7YJ/msi-meg-coreliquid-s360-562-cfm-liquid-cpu-cooler-meg-coreliquid-s360
85,Corsair iCUE H115i RGB Pro XT 63 CFM Liquid CPU Cooler (CW-9060044-WW),Corsair,2200 RPM,36 dB,Black,,Yes - 280 mm,No,€156.90,https://fi.pcpartpicker.com/product/TgFKHx/corsair-icue-h115i-rgb-pro-xt-63-cfm-liquid-cpu-cooler-cw-9060044-ww
86,be quiet! Pure Loop 360 Liquid CPU Cooler (BW008),be quiet!,,19.8 - 40.5 dB,Black,,Yes - 360 mm,No,€125.90,https://fi.pcpartpicker.com/product/fJjNnQ/be-quiet-pure-loop-360-liquid-cpu-cooler-bw008
87,MSI MAG CORELIQUID R 84.36 CFM Liquid CPU Cooler (MAG CORELIQUID 280R),MSI,500 - 1800 RPM,14.8 - 33.28 dB,Black,,Yes - 280 mm,No,€99.00,https://fi.pcpartpicker.com/product/pcM48d/msi-mag-coreliquid-280r-8436-cfm-liquid-cpu-cooler-mag-coreliquid-280r
88,Cooler Master Hyper H412R 34.1 CFM CPU Cooler (RR-H412-20PK-R2),Cooler Master,600 - 2000 RPM,29.4 dB,Black,136 mm,No,No,€29.90,https://fi.pcpartpicker.com/product/vbfhP6/cooler-master-hyper-h412r-341-cfm-cpu-cooler-rr-h412-20pk-r2
89,Noctua NH-U14S 82.52 CFM CPU Cooler (NH-U14S),Noctua,300 - 1500 RPM,19.2 - 24.6 dB,,165 mm,No,No,€75.90,https://fi.pcpartpicker.com/product/DMjG3C/noctua-nh-u14s-8252-cfm-cpu-cooler-nh-u14s
90,MSI MEG CORELIQUID S280 82.27 CFM Liquid CPU Cooler (MEG CoreLiquid S280),MSI,,24.9 dB,Black,,Yes - 280 mm,No,€249.00,https://fi.pcpartpicker.com/product/47Z9TW/msi-meg-coreliquid-s280-8227-cfm-liquid-cpu-cooler-meg-coreliquid-s280
91,Deepcool GAMMAXX GTE V2 64.5 CFM CPU Cooler (DP-MCH4-GMX-GTE-V2WH),Deepcool,500 - 1650 RPM,27.8 dB,White,158 mm,No,No,€27.90,https://fi.pcpartpicker.com/product/FJ2bt6/deepcool-gammaxx-gte-v2-645-cfm-cpu-cooler-dp-mch4-gmx-gte-v2wh
92,be quiet! Pure Loop 240 Liquid CPU Cooler (BW006),be quiet!,,19 - 39.5 dB,Black,,Yes - 240 mm,No,€98.90,https://fi.pcpartpicker.com/product/YVhmP6/be-quiet-pure-loop-240-liquid-cpu-cooler-bw006
93,Cooler Master MasterLiquid ML360 Illusion 47.2 CFM Liquid CPU Cooler (MLX-D36M-A18P2-R1),Cooler Master,650 - 1800 RPM,6 - 30 dB,Black / Silver,,Yes - 360 mm,No,€149.90,https://fi.pcpartpicker.com/product/TyWzK8/cooler-master-masterliquid-ml360-illusion-472-cfm-liquid-cpu-cooler-mlx-d36m-a18p2-r1
94,Deepcool GAMMAXX L240 V2 69.34 CFM Liquid CPU Cooler (DP-H12RF-GL240V2),Deepcool,500 - 1800 RPM,30 dB,Black / White,,Yes - 240 mm,No,€76.90,https://fi.pcpartpicker.com/product/syxbt6/deepcool-gammaxx-l240-v2-6934-cfm-liquid-cpu-cooler-dp-h12rf-gl240v2
95,Deepcool Castle 240 RGB V2 69.34 CFM Liquid CPU Cooler (DP-GS-H12AR-CSL240V2),Deepcool,500 - 1800 RPM,30 dB,Black,,Yes - 240 mm,No,€77.90,https://fi.pcpartpicker.com/product/tnn8TW/deepcool-castle-240-rgb-v2-6934-cfm-liquid-cpu-cooler-dp-gs-h12ar-csl240v2
96,Noctua NH-L12S 55.44 CFM CPU Cooler (NH-L12S),Noctua,450 - 1850 RPM,16.8 - 23.9 dB,,70 mm,No,No,€54.90,https://fi.pcpartpicker.com/product/hbnG3C/noctua-nh-l12s-5544-cfm-cpu-cooler-nh-l12s
97,EK EK-AIO Elite D-RGB 66.04 CFM Liquid CPU Cooler (EK-AIO Elite 360 D-RGB),EK,550 - 2200 RPM,31.6 dB,Black,,Yes - 360 mm,No,€219.90,https://fi.pcpartpicker.com/product/j74Ycf/ek-ek-aio-elite-360-d-rgb-6604-cfm-liquid-cpu-cooler-ek-aio-elite-360-d-rgb
98,be quiet! Pure Loop 280 Liquid CPU Cooler (BW007),be quiet!,,22.5 - 38.1 dB,Black,,Yes - 280 mm,No,€109.90,https://fi.pcpartpicker.com/product/4K6qqs/be-quiet-pure-loop-280-liquid-cpu-cooler-bw007
99,MSI MAG CORELIQUID C 78.73 CFM Liquid CPU Cooler (MAG CORELIQUID C240),MSI,500 - 2000 RPM,14.3 - 34.3 dB,Black,,Yes - 240 mm,No,€139.90,https://fi.pcpartpicker.com/product/gC4Ycf/msi-mag-coreliquid-c240-7873-cfm-liquid-cpu-cooler-mag-coreliquid-c240
100,NZXT Kraken Z53 RGB 52.44 CFM Liquid CPU Cooler (RL-KRZ53-R1),NZXT,500 - 1500 RPM,22 - 33 dB,Black,,Yes - 240 mm,No,€257.90,https://fi.pcpartpicker.com/product/TGwypg/nzxt-kraken-z53-rgb-5244-cfm-liquid-cpu-cooler-rl-krz53-r1
101,Cooler Master MasterAir MA624 Stealth 67 CFM CPU Cooler (MAM-D6PS-314PK-R1),Cooler Master,650 - 1400 RPM,10 - 27 dB,Black,160 mm,No,No,€99.90,https://fi.pcpartpicker.com/product/cQgFf7/cooler-master-masterair-ma624-stealth-67-cfm-cpu-cooler-mam-d6ps-314pk-r1
102,MSI MAG CORELIQUID P 78.73 CFM Liquid CPU Cooler (MAG CORELIQUID P240),MSI,500 - 2000 RPM,14.3 - 34.3 dB,Black,,Yes - 240 mm,No,€99.00,https://fi.pcpartpicker.com/product/KNxRsY/msi-mag-coreliquid-p240-7873-cfm-liquid-cpu-cooler-mag-coreliquid-p240
103,ARCTIC Freezer 34 eSports DUO CPU Cooler (ACFRE00060A),ARCTIC,200 - 2100 RPM,24.4 dB,Red / Black,157 mm,No,No,€42.90,https://fi.pcpartpicker.com/product/dmXnTW/arctic-freezer-34-esports-duo-cpu-cooler-acfre00060a
104,Scythe Shuriken 2 41.3 CFM CPU Cooler (SCSK-2000),Scythe,300 - 2500 RPM,1.8 - 23.2 dB,Black / Silver,58 mm,No,No,€42.90,https://fi.pcpartpicker.com/product/8Dyqqs/scythe-shuriken-2-413-cfm-cpu-cooler-scsk-2000
105,Razer Hanbo Chroma Liquid CPU Cooler (RC21-01770200-R3M1),Razer,,,Black,,Yes - 360 mm,No,€219.90,https://fi.pcpartpicker.com/product/GPNxFT/razer-hanbo-chroma-liquid-cpu-cooler-rc21-01770200-r3m1
106,Noctua NH-L9i-17xx 33.84 CFM CPU Cooler (NH-L9i-17xx),Noctua,600 - 2500 RPM,14.8 - 23.6 dB,Brown / Beige,37 mm,No,No,€44.90,https://fi.pcpartpicker.com/product/ffRYcf/noctua-nh-l9i-17xx-3384-cfm-cpu-cooler-nh-l9i-17xx
107,Asus ROG RYUJIN 360 121.8 CFM Liquid CPU Cooler (ROG RYUJIN 360),Asus,450 - 2000 RPM,29.7 dB,Black,,Yes - 360 mm,No,€259.00,https://fi.pcpartpicker.com/product/Kv7v6h/asus-rog-ryujin-360-1218-cfm-liquid-cpu-cooler-rog-ryujin-360
108,Noctua NH-C14S 82.52 CFM CPU Cooler (NH-C14S),Noctua,300 - 1500 RPM,19.2 - 24.6 dB,,142 mm,No,No,€84.90,https://fi.pcpartpicker.com/product/kykwrH/noctua-nh-c14s-8252-cfm-cpu-cooler-nh-c14s
109,ARCTIC Alpine 23 CPU Cooler (ACALP00035A),ARCTIC,100 - 2000 RPM,,White / Black,65 mm,No,No,€9.90,https://fi.pcpartpicker.com/product/MKBG3C/arctic-alpine-23-cpu-cooler-acalp00035a
110,MSI MAG CORELIQUID C 78.73 CFM Liquid CPU Cooler (MAG CORELIQUID C360),MSI,500 - 2000 RPM,14.3 - 34.3 dB,Black,,Yes - 360 mm,No,€178.00,https://fi.pcpartpicker.com/product/Jy7G3C/msi-mag-coreliquid-c360-7873-cfm-liquid-cpu-cooler-mag-coreliquid-c360
111,Noctua NH-D12L 60.09 CFM CPU Cooler (NH-D12L),Noctua,450 - 2000 RPM,18.8 - 22.6 dB,Beige / Brown,145 mm,No,No,€89.90,https://fi.pcpartpicker.com/product/MvGbt6/noctua-nh-d12l-6009-cfm-cpu-cooler-nh-d12l
112,Noctua NH-U14S TR4-SP3 82.52 CFM CPU Cooler (NH-U14S TR4-SP3),Noctua,300 - 1500 RPM,19.2 - 24.6 dB,,165 mm,No,No,€79.90,https://fi.pcpartpicker.com/product/nCNypg/noctua-nh-u14s-tr4-sp3-1402-cfm-cpu-cooler-nh-u14s-tr4-sp3
113,Fractal Design Lumen S36 RGB 56 CFM Liquid CPU Cooler (FD-W-L1-S3602),Fractal Design,500 - 2000 RPM,10 - 33.2 dB,Black,,Yes - 360 mm,No,€149.90,https://fi.pcpartpicker.com/product/h3WzK8/fractal-design-lumen-s36-rgb-56-cfm-liquid-cpu-cooler-fd-w-l1-s3602
114,Deepcool CASTLE 240EX WHITE 64.4 CFM Liquid CPU Cooler (DP-GS-H12W-CSL240EXWH),Deepcool,500 - 1800 RPM,32.1 dB,White / Black,,Yes - 240 mm,No,€84.90,https://fi.pcpartpicker.com/product/nGYQzy/deepcool-castle-240ex-white-644-cfm-liquid-cpu-cooler-dp-gs-h12w-csl240exwh
115,Noctua NH-L9a-AM4 chromax.black 33.8 CFM CPU Cooler (NH-L9a-AM4 chromax.black),Noctua,600 - 2500 RPM,14.8 - 23.6 dB,Black,37 mm,No,No,€54.90,https://fi.pcpartpicker.com/product/HZXYcf/noctua-nh-l9a-am4-chromaxblack-338-cfm-cpu-cooler-nh-l9a-am4-chromaxblack
116,Deepcool AS500 Plus 70.81 CFM CPU Cooler (R-AS500-BKNLMP-G),Deepcool,500 - 1200 RPM,31.5 dB,Black,164 mm,No,No,€54.90,https://fi.pcpartpicker.com/product/dL92FT/deepcool-as500-plus-7081-cfm-cpu-cooler-r-as500-bknlmp-g
117,MSI MPG CORELIQUID V2 77.4 CFM Liquid CPU Cooler (MPG CORELIQUID K360 V2),MSI,,39.9 dB,Black,,Yes - 360 mm,No,€279.00,https://fi.pcpartpicker.com/product/sh8bt6/msi-mpg-coreliquid-k360-v2-774-cfm-liquid-cpu-cooler-mpg-coreliquid-k360-v2
118,Deepcool Gammaxx L360 V2 69.34 CFM Liquid CPU Cooler (DP-H12RF-GL360V2C),Deepcool,500 - 1800 RPM,30 dB,Black / White,,Yes - 360 mm,No,€99.90,https://fi.pcpartpicker.com/product/r6K2FT/deepcool-gammaxx-l360-v2-6934-cfm-liquid-cpu-cooler-dp-h12rf-gl360v2c
119,Gigabyte AORUS WATERFORCE X 60.07 CFM Liquid CPU Cooler (AORUS WATERFORCE X 240),Gigabyte,800 - 2500 RPM,7.9 - 37.6 dB,Black,,Yes - 240 mm,No,€202.90,https://fi.pcpartpicker.com/product/jJpzK8/gigabyte-aorus-waterforce-x-240-6007-cfm-liquid-cpu-cooler-aorus-waterforce-x-240
120,Phanteks Glacier One 240MP 60.51 CFM Liquid CPU Cooler (PH-GO240MP_DBK01),Phanteks,500 - 2200 RPM,18 - 34.2 dB,Black / White,,Yes - 240 mm,No,€129.90,https://fi.pcpartpicker.com/product/fPtKHx/phanteks-glacier-one-240mp-6051-cfm-liquid-cpu-cooler-ph-go240mp_dbk01
121,SilentiumPC Fera 5 CPU Cooler (SPC303),SilentiumPC,300 - 1800 RPM,,Black / Silver,155 mm,No,No,€30.90,https://fi.pcpartpicker.com/product/z82WGX/silentiumpc-fera-5-cpu-cooler-spc303
122,ARCTIC Freezer 7 X CO CPU Cooler (ACFRE00085A),ARCTIC,300 - 2000 RPM,,Black / Silver,132 mm,No,No,€21.90,https://fi.pcpartpicker.com/product/p2LwrH/arctic-freezer-7-x-co-cpu-cooler-acfre00085a
123,Enermax Aquafusion 240 79.8 CFM Liquid CPU Cooler (ELC-AQF240-SQA),Enermax,500 - 2000 RPM,17 - 32.6 dB,Black,,Yes - 240 mm,No,€114.90,https://fi.pcpartpicker.com/product/qP3mP6/enermax-aquafusion-240-798-cfm-liquid-cpu-cooler-elc-aqf240-sqa
124,EK EK-AIO D-RGB 66.04 CFM Liquid CPU Cooler (EK-AIO 120 D-RGB),EK,450 - 2600 RPM,36.4 dB,Black,,Yes - 120 mm,No,€82.00,https://fi.pcpartpicker.com/product/cyTzK8/ek-ek-aio-120-d-rgb-6604-cfm-liquid-cpu-cooler-ek-aio-120-d-rgb
125,ARCTIC Liquid Freezer II 120 56.3 CFM Liquid CPU Cooler (ACFRE00067A),ARCTIC,200 - 1800 RPM,,Black,,Yes - 120 mm,No,€69.90,https://fi.pcpartpicker.com/product/CDZzK8/arctic-liquid-freezer-ii-120-563-cfm-liquid-cpu-cooler-acfre00067a
126,ARCTIC Freezer i13 X CPU Cooler (ACFRE00078A),ARCTIC,300 - 2000 RPM,,Black / White,137 mm,No,No,€24.90,https://fi.pcpartpicker.com/product/W2GnTW/arctic-freezer-i13-x-cpu-cooler-acfre00078a
127,ARCTIC Liquid Freezer II 420 A-RGB 68.9 CFM Liquid CPU Cooler (ACFRE00109A),ARCTIC,200 - 1900 RPM,22.5 dB,Black,,Yes - 420 mm,No,€129.90,https://fi.pcpartpicker.com/product/83vdnQ/arctic-liquid-freezer-ii-420-a-rgb-689-cfm-liquid-cpu-cooler-acfre00109a
128,Cooler Master MasterLiquid Lite 240 66.7 CFM Liquid CPU Cooler (MLW-D24M-A20PW-R1),Cooler Master,650 - 2000 RPM,6 - 30 dB,,,Yes - 240 mm,No,€69.00,https://fi.pcpartpicker.com/product/9gRFf7/cooler-master-masterliquid-lite-240-667-cfm-liquid-cpu-cooler-mlw-d24m-a20pw-r1
129,Alpenföhn BLACK RIDGE 47.1 CFM CPU Cooler (84000000156),Alpenföhn,800 - 2800 RPM,14 - 37.6 dB,Black,47 mm,No,No,€45.90,https://fi.pcpartpicker.com/product/MCx2FT/alpenfohn-black-ridge-471-cfm-cpu-cooler-84000000156
130,be quiet! Shadow Rock LP 51.4 CFM CPU Cooler (BK002),be quiet!,1500 RPM,14.8 - 25.5 dB,,75 mm,No,No,€49.00,https://fi.pcpartpicker.com/product/9FGj4D/be-quiet-shadow-rock-lp-514-cfm-cpu-cooler-bk002
131,MSI MAG CORELIQUID P 78.73 CFM Liquid CPU Cooler (MAG CORELIQUID P360),MSI,500 - 2000 RPM,14.3 - 34.3 dB,Black,,Yes - 360 mm,No,€142.90,https://fi.pcpartpicker.com/product/vjC48d/msi-mag-coreliquid-p360-7873-cfm-liquid-cpu-cooler-mag-coreliquid-p360
132,ARCTIC Alpine 12 CO CPU Cooler (ACALP00031A),ARCTIC,100 - 2700 RPM,,Black / Gray,77 mm,No,No,€11.90,https://fi.pcpartpicker.com/product/JZyV3C/arctic-alpine-12-co-cpu-cooler-acalp00031a
133,Deepcool AK400 WH 66.47 CFM CPU Cooler (AK400 WH),Deepcool,500 - 1850 RPM,29 dB,White,155 mm,No,No,€37.90,https://fi.pcpartpicker.com/product/tvGbt6/deepcool-ak400-wh-6647-cfm-cpu-cooler-ak400-wh
134,be quiet! Dark Rock Pro TR4 59.5 CFM CPU Cooler (BK023),be quiet!,1200 - 1500 RPM,12.8 - 24.3 dB,Black,163 mm,No,No,€84.90,https://fi.pcpartpicker.com/product/Z6zkcf/be-quiet-dark-rock-pro-tr4-595-cfm-cpu-cooler-bk023
135,ARCTIC Alpine 12 CPU Cooler (ACALP00027A),ARCTIC,100 - 2000 RPM,,Black / White,77 mm,No,No,€10.90,https://fi.pcpartpicker.com/product/PNm323/arctic-alpine-12-cpu-cooler-acalp00027a
136,be quiet! Dark Rock TF 2 CPU Cooler (BK031),be quiet!,1400 RPM,,Black,134 mm,No,No,€94.90,https://fi.pcpartpicker.com/product/GTpzK8/be-quiet-dark-rock-tf-2-cpu-cooler-bk031
137,Corsair iCUE H150i RGB ELITE 65.57 CFM Liquid CPU Cooler (CW-9060060-WW),Corsair,400 - 1850 RPM,19 - 35.8 dB,Black,,Yes - 360 mm,No,€202.90,https://fi.pcpartpicker.com/product/dnVmP6/corsair-icue-h150i-rgb-elite-6557-cfm-liquid-cpu-cooler-cw-9060060-ww
138,MSI MAG CORELIQUID C 84.36 CFM Liquid CPU Cooler (MAG CORELIQUID C280),MSI,500 - 1800 RPM,14.8 - 33.28 dB,Black,,Yes - 280 mm,No,€148.90,https://fi.pcpartpicker.com/product/qwytt6/msi-mag-coreliquid-c280-8436-cfm-liquid-cpu-cooler-mag-coreliquid-c280
139,Deepcool AS500 70.81 CFM CPU Cooler (R-AS500-BKNLMN-G),Deepcool,500 - 1200 RPM,29.2 dB,Black / Silver,164 mm,No,No,€49.90,https://fi.pcpartpicker.com/product/bykWGX/deepcool-as500-7081-cfm-cpu-cooler-r-as500-bknlmn-g
140,Noctua NH-P1 Fanless CPU Cooler (NH-P1),Noctua,,0 dB,Silver,158 mm,No,Yes,€116.90,https://fi.pcpartpicker.com/product/TWBG3C/noctua-nh-p1-fanless-cpu-cooler-nh-p1
141,Fractal Design Lumen S24 RGB 56 CFM Liquid CPU Cooler (FD-W-L1-S2402),Fractal Design,500 - 2000 RPM,10 - 33.2 dB,Black,,Yes - 240 mm,No,€129.90,https://fi.pcpartpicker.com/product/bLpzK8/fractal-design-lumen-s24-rgb-56-cfm-liquid-cpu-cooler-fd-w-l1-s2402
142,CRYORIG H7 49 CFM CPU Cooler (H7),CRYORIG,330 - 1600 RPM,25 dB,,145 mm,No,No,€42.90,https://fi.pcpartpicker.com/product/93Crxr/cryorig-h7-49-cfm-cpu-cooler-h7
143,CRYORIG M9 Plus 48.4 CFM CPU Cooler (M9 Plus),CRYORIG,600 - 2200 RPM,26.4 dB,Black / Silver,125 mm,No,No,€29.90,https://fi.pcpartpicker.com/product/TnJtt6/cryorig-m9-plus-484-cfm-cpu-cooler-m9-plus
144,Cooler Master MasterAIR G200P 35.5 CFM CPU Cooler (MAP-G2PN-126PC-R1),Cooler Master,800 - 2000 RPM,6 - 28 dB,Black / Silver,39 mm,No,No,€49.90,https://fi.pcpartpicker.com/product/Tfn8TW/cooler-master-masterair-g200p-355-cfm-cpu-cooler-map-g2pn-126pc-r1
145,Gigabyte AORUS WATERFORCE X 89.18 CFM Liquid CPU Cooler (AORUS WATERFORCE X 280),Gigabyte,2300 RPM,8.06 - 44.4 dB,Black,,Yes - 280 mm,No,€216.80,https://fi.pcpartpicker.com/product/TP8bt6/gigabyte-aorus-waterforce-x-280-8918-cfm-liquid-cpu-cooler-aorus-waterforce-x-280
146,Deepcool CASTLE 280EX 97.03 CFM Liquid CPU Cooler (DP-GS-H14AR-CSL280EX),Deepcool,400 - 1600 RPM,39.8 dB,Black,,Yes - 280 mm,No,€87.90,https://fi.pcpartpicker.com/product/WPTzK8/deepcool-castle-280ex-9703-cfm-liquid-cpu-cooler-dp-gs-h14ar-csl280ex
147,Fractal Design Celsius S36 87.6 CFM Liquid CPU Cooler (FD-WCU-CELSIUS-S36-BK),Fractal Design,500 - 2000 RPM,32.2 dB,,,Yes - 360 mm,No,€129.90,https://fi.pcpartpicker.com/product/NMtWGX/fractal-design-celsius-s36-876-cfm-liquid-cpu-cooler-fd-wcu-celsius-s36-bk
148,Fractal Design Celsius S24 87.6 CFM Liquid CPU Cooler (FD-WCU-CELSIUS-S24-BK),Fractal Design,500 - 2000 RPM,32.2 dB,,,Yes - 240 mm,No,€119.90,https://fi.pcpartpicker.com/product/nfzZxr/fractal-design-celsius-s24-876-cfm-liquid-cpu-cooler-fd-wcu-celsius-s24-bk
149,Cooler Master MasterAir MA620M 57.3 CFM CPU Cooler (MAM-D6PN-120PA-R1),Cooler Master,650 - 2000 RPM,8 - 30 dB,Black,165 mm,No,No,€109.90,https://fi.pcpartpicker.com/product/GBjNnQ/cooler-master-masterair-ma620m-573-cfm-cpu-cooler-mam-d6pn-120pa-r1
150,Deepcool GAMMAXX GTE V2 64.5 CFM CPU Cooler (DP-MCH4-GMX-GTE-V2BK),Deepcool,500 - 1650 RPM,27.8 dB,Black,158 mm,No,No,€39.90,https://fi.pcpartpicker.com/product/QCvqqs/deepcool-gammaxx-gte-v2-645-cfm-cpu-cooler-dp-mch4-gmx-gte-v2bk
151,Noctua NH-U9 TR4-SP3 46.44 CFM CPU Cooler (NH-U9 TR4-SP3),Noctua,400 - 2000 RPM,16.3 - 22.8 dB,,125 mm,No,No,€69.90,https://fi.pcpartpicker.com/product/LY38TW/noctua-nh-u9-tr4-sp3-789-cfm-cpu-cooler-nh-u9-tr4-sp3
152,be quiet! Silent Loop 2 360 73.33 CFM Liquid CPU Cooler (BW012),be quiet!,2200 RPM,17.7 - 39.8 dB,Black,,Yes - 360 mm,No,€165.90,https://fi.pcpartpicker.com/product/nx6p99/be-quiet-silent-loop-2-360-7333-cfm-liquid-cpu-cooler-bw012
153,Cooler Master MasterLiquid Lite 120 66.7 CFM Liquid CPU Cooler (MLW-D12M-A20PW-R1),Cooler Master,650 - 2000 RPM,6 - 30 dB,,,Yes - 120 mm,No,€65.00,https://fi.pcpartpicker.com/product/TDdFf7/cooler-master-masterliquid-lite-120-667-cfm-liquid-cpu-cooler-mlw-d12m-a20pw-r1
154,Fractal Design Lumen S28 RGB 78 CFM Liquid CPU Cooler (FD-W-L1-S2802),Fractal Design,500 - 1700 RPM,10 - 35.5 dB,Black,,Yes - 280 mm,No,€139.90,https://fi.pcpartpicker.com/product/N62WGX/fractal-design-lumen-s28-rgb-78-cfm-liquid-cpu-cooler-fd-w-l1-s2802
155,Cooler Master Hyper 212 LED 66.3 CFM Rifle Bearing CPU Cooler (RR-212L-16PR-R1),Cooler Master,600 - 1600 RPM,9 - 31 dB,,160 mm,No,No,€39.90,https://fi.pcpartpicker.com/product/YdJkcf/cooler-master-hyper-212-led-663-cfm-rifle-bearing-cpu-cooler-rr-212l-16pr-r1
156,Corsair iCUE H100i RGB ELITE 65.57 CFM Liquid CPU Cooler (CW-9060058-WW),Corsair,400 - 1850 RPM,19 - 35.8 dB,Black,,Yes - 240 mm,No,€163.90,https://fi.pcpartpicker.com/product/scstt6/corsair-icue-h100i-rgb-elite-6557-cfm-liquid-cpu-cooler-cw-9060058-ww
