id	Name	Manufacturer	Form Factor	Efficiency Rating	Wattage	Length	Modular	Color	Type	Fanless	ATX Connectors	EPS Connectors	PCIe 12-Pin Connectors	PCIe 8-Pin Connectors	PCIe 6+2-Pin Connectors	PCIe 6-Pin Connectors	SATA Connectors	Molex 4-Pin Connectors	Price	Url
98	be quiet! Straight Power 11 850W 850 W 80+ Gold Certified Fully Modular ATX Power Supply (BN284)	be quiet!	ATX	80+ Gold	850 W	170 mm	Full		ATX	No	0	2	0	0	4	0	11	8	€139.90	https://fi.pcpartpicker.com/product/7cTPxr/be-quiet-straight-power-11-850w-80-gold-certified-fully-modular-atx-power-supply-bn284
99	SeaSonic FOCUS SGX 650 W 80+ Gold Certified Fully Modular SFX Power Supply (SSR-650SGX)	SeaSonic	SFX	80+ Gold	650 W	125 mm	Full	Black	SFX12V	No	0	1	0	0	4	0	6	3	€144.90	https://fi.pcpartpicker.com/product/mPdxFT/seasonic-focus-sgx-650w-80-gold-certified-fully-modular-sfx-power-supply-ssr-650sgx
100	Silverstone Strider Platinum S 1200 W 80+ Platinum Certified Fully Modular ATX Power Supply (SST-ST1200-PTS)	Silverstone	ATX	80+ Platinum	1200 W	140 mm	Full	Black	ATX	No	0	2	0	0	8	0	8	6	€242.90	https://fi.pcpartpicker.com/product/L4rmP6/silverstone-strider-platinum-s-1200-w-80-platinum-certified-fully-modular-atx-power-supply-sst-st1200-pts
101	be quiet! Straight Power 11 650W 650 W 80+ Gold Certified Fully Modular ATX Power Supply (BN282)	be quiet!	ATX	80+ Gold	650 W	160 mm	Full		ATX	No	0	1	0	0	4	0	9	7	€125.00	https://fi.pcpartpicker.com/product/Rj22FT/be-quiet-straight-power-11-650w-80-gold-certified-fully-modular-atx-power-supply-bn282
102	SeaSonic PRIME 1300 Gold 1300 W 80+ Gold Certified Fully Modular ATX Power Supply (SSR-1300GD)	SeaSonic	ATX	80+ Gold	1300 W	170 mm	Full	Black	ATX	No	0	2	0	0	12	0	12	5	€269.00	https://fi.pcpartpicker.com/product/TYWfrH/seasonic-prime-gold-1300w-80-gold-certified-fully-modular-atx-power-supply-ssr-1300gd
103	SeaSonic FOCUS 750 W 80+ Gold Certified Semi-modular ATX Power Supply (FOCUS-GM-750)	SeaSonic	ATX	80+ Gold	750 W	140 mm	Semi	Black	ATX	No	0	1	0	0	4	0	8	3	€104.90	https://fi.pcpartpicker.com/product/KhkgXL/seasonic-focus-750-w-80-gold-certified-semi-modular-atx-power-supply-focus-gm-750
104	Silverstone SST-FX350-G 350 W 80+ Gold Certified Flex ATX Power Supply (SST-FX350-G)	Silverstone	Flex ATX	80+ Gold	350 W	150 mm	No	Black	Flex ATX	No	0	1	0	0	0	1	3	2	€79.90	https://fi.pcpartpicker.com/product/cDndnQ/silverstone-350-w-80-gold-certified-flex-atx-power-supply-sst-fx350-g
105	Silverstone SX700-PT 700 W 80+ Platinum Certified Fully Modular SFX Power Supply (SST-SX700-PT)	Silverstone	SFX	80+ Platinum	700 W	100 mm	Full	Black	SFX12V	No	0	2	0	0	4	0	6	3	€149.90	https://fi.pcpartpicker.com/product/W7CFf7/silverstone-700-w-80-platinum-certified-fully-modular-sfx-power-supply-sst-sx700-pt
106	SeaSonic FOCUS 750 W 80+ Platinum Certified Fully Modular ATX Power Supply (FOCUS-PX-750)	SeaSonic	ATX	80+ Platinum	750 W	140 mm	Full	Black	ATX	No	0	2	0	0	4	0	10	3	€137.90	https://fi.pcpartpicker.com/product/kjZzK8/seasonic-focus-750-w-80-platinum-certified-fully-modular-atx-power-supply-focus-px-750
107	be quiet! Pure Power 11 FM 550 550 W 80+ Gold Certified Fully Modular ATX Power Supply (BN670)	be quiet!	ATX	80+ Gold	550 W	165 mm	Full	Black	ATX	No	0	1	0	0	2	0	9	2	€94.90	https://fi.pcpartpicker.com/product/8gpzK8/be-quiet-pure-power-11-fm-550-w-80-gold-certified-fully-modular-atx-power-supply-bn670
108	be quiet! Pure Power 11 300 W 80+ Bronze Certified ATX Power Supply (BN290)	be quiet!	ATX	80+ Bronze	300 W	150 mm	No	Black	ATX	No	0	1	0	0	1	0	4	2	€54.90	https://fi.pcpartpicker.com/product/HzrmP6/be-quiet-pure-power-11-300-w-80-gold-certified-atx-power-supply-bn290
109	be quiet! Straight Power 11 650 W 80+ Platinum Certified Fully Modular ATX Power Supply (BN641)	be quiet!	ATX	80+ Platinum	650 W	160 mm	Full	Black	ATX	No	0	1	0	0	2	0	9	3	€144.00	https://fi.pcpartpicker.com/product/YBYQzy/be-quiet-straight-power-11-650-w-80-platinum-certified-fully-modular-atx-power-supply-bn641
110	be quiet! System Power 9 700 W 80+ Bronze Certified ATX Power Supply (BN248)	be quiet!	ATX	80+ Bronze	700 W	140 mm	No	Black	ATX	No	0	1	0	0	4	0	6	2	€84.90	https://fi.pcpartpicker.com/product/69kj4D/be-quiet-system-power-9-700-w-80-bronze-certified-atx-power-supply-bn248
111	SeaSonic G12 GC 850 W 80+ Gold Certified ATX Power Supply (G12-GC-850)	SeaSonic	ATX	80+ Gold	850 W	140 mm	No	Black / Blue	ATX	No	0	1	0	0	2	0	3	3	€109.90	https://fi.pcpartpicker.com/product/FgpzK8/seasonic-g12-gc-850-w-80-gold-certified-atx-power-supply-g12-gc-850
112	KOLINK ENCLAVE 700 W 80+ Gold Certified Fully Modular ATX Power Supply (KL-G700FM)	KOLINK	ATX	80+ Gold	700 W	160 mm	Full	Black / Yellow	ATX	No	0	1	0	0	4	0	8	4	€86.90	https://fi.pcpartpicker.com/product/3dYQzy/kolink-enclave-700-w-80-gold-certified-fully-modular-atx-power-supply-kl-g700fm
113	KOLINK ENCLAVE 600 W 80+ Gold Certified Fully Modular ATX Power Supply (KL-G600FM)	KOLINK	ATX	80+ Gold	600 W	160 mm	Full	Black / Yellow	ATX	No	0	1	0	0	4	0	8	4	€73.90	https://fi.pcpartpicker.com/product/FxQfrH/kolink-enclave-600-w-80-gold-certified-fully-modular-atx-power-supply-kl-g600fm
114	be quiet! Dark Power 12 750 W 80+ Titanium Certified Fully Modular ATX Power Supply (BN314)	be quiet!	ATX	80+ Titanium	750 W	175 mm	Full	Black	ATX	No	0	2	0	0	6	0	12	5	€179.00	https://fi.pcpartpicker.com/product/vXvdnQ/be-quiet-dark-power-12-750-w-80-titanium-certified-fully-modular-atx-power-supply-bn314
115	SeaSonic FOCUS 850 W 80+ Gold Certified Semi-modular ATX Power Supply (FOCUS GM-850)	SeaSonic	ATX	80+ Gold	850 W	140 mm	Semi	Black	ATX	No	0	1	0	0	6	0	8	3	€119.90	https://fi.pcpartpicker.com/product/nf2bt6/seasonic-focus-850-w-80-gold-certified-semi-modular-atx-power-supply-focus-gm-850
116	Fractal Design Ion Gold 650 W 80+ Gold Certified Fully Modular ATX Power Supply (FD-P-IA2G-650)	Fractal Design	ATX	80+ Gold	650 W	150 mm	Full	Black	ATX	No	0	1	0	0	4	0	6	3	€98.90	https://fi.pcpartpicker.com/product/V4M48d/fractal-design-ion-gold-650-w-80-gold-certified-fully-modular-atx-power-supply-fd-p-ia2g-650
117	Phanteks AMP 1000 W 80+ Gold Certified Fully Modular ATX Power Supply (PH-P1000G)	Phanteks	ATX	80+ Gold	1000 W	140 mm	Full	Black	ATX	No	0	2	0	0	6	0	10	5	€167.90	https://fi.pcpartpicker.com/product/QX3gXL/phanteks-amp-1000-w-80-gold-certified-fully-modular-atx-power-supply-ph-p1000g
118	BitFenix Formula Gold 750 750 W 80+ Gold Certified ATX Power Supply (BP-FM750ULAG-7R)	BitFenix	ATX	80+ Gold	750 W	140 mm	No		ATX	No	0	2	0	0	4	0	8	4	€94.90	https://fi.pcpartpicker.com/product/Tsbkcf/bitfenix-formula-gold-750w-80-gold-certified-atx-power-supply-bp-fm750ulag-7r
119	SeaSonic FOCUS 650 W 80+ Platinum Certified Fully Modular ATX Power Supply (FOCUS-PX-650)	SeaSonic	ATX	80+ Platinum	650 W	140 mm	Full	Black	ATX	No	0	2	0	0	4	0	10	3	€124.90	https://fi.pcpartpicker.com/product/x2mFf7/seasonic-focus-650-w-80-platinum-certified-fully-modular-atx-power-supply-focus-px-650
120	Silverstone SX750-PT 750 W 80+ Platinum Certified Fully Modular SFX Power Supply (SST-SX750-PT)	Silverstone	SFX	80+ Platinum	750 W	100 mm	Full	Black	SFX12V	No	0	3	0	0	4	0	8	3	€169.90	https://fi.pcpartpicker.com/product/3RLwrH/silverstone-sx-pt-750-w-80-platinum-certified-fully-modular-sfx-power-supply-sst-sx750-pt
121	Super Flower Leadex III Gold 650 W 80+ Gold Certified Fully Modular ATX Power Supply (SF-650F14HG)	Super Flower	ATX	80+ Gold	650 W	160 mm	Full	Black	ATX	No	0	2	0	0	4	0	6	4	€104.90	https://fi.pcpartpicker.com/product/VbhmP6/super-flower-leadex-iii-gold-650-w-80-gold-certified-fully-modular-atx-power-supply-sf-650f14hg
122	Fractal Design Ion+ 560P 560 W 80+ Platinum Certified Fully Modular ATX Power Supply (FD-PSU-IONP-560P-BK)	Fractal Design	ATX	80+ Platinum	560 W	150 mm	Full	Black	ATX	No	0	1	0	0	4	0	6	4	€79.90	https://fi.pcpartpicker.com/product/YdXYcf/fractal-design-ion-560-w-80-platinum-certified-fully-modular-atx-power-supply-fd-psu-ionp-560p-bk
123	Silverstone Strider Platinum 850 W 80+ Platinum Certified Fully Modular ATX Power Supply (ST85F-PT)	Silverstone	ATX	80+ Platinum	850 W	140 mm	Full		ATX	No	0	2	0	0	4	0	12	3	€162.90	https://fi.pcpartpicker.com/product/BVTrxr/silverstone-strider-platinum-850w-80-platinum-certified-fully-modular-atx-power-supply-st85f-pt
124	be quiet! Pure Power 11 350 W 80+ Bronze Certified ATX Power Supply (BN291)	be quiet!	ATX	80+ Bronze	350 W	150 mm	No	Black	ATX	No	0	1	0	0	1	0	5	2	€58.90	https://fi.pcpartpicker.com/product/p2DJ7P/be-quiet-pure-power-11-350-w-80-gold-certified-atx-power-supply-bn291
125	Silverstone SX300-B 300 W 80+ Bronze Certified SFX Power Supply (SST-SX300-B)	Silverstone	SFX	80+ Bronze	300 W	100 mm	No	Black	SFX12V	No	0	1	0	0	1	0	3	2	€69.90	https://fi.pcpartpicker.com/product/yzqBD3/silverstone-sx-b-300-w-80-bronze-certified-sfx-power-supply-sst-sx300-b
126	be quiet! Pure Power 11 600 600 W 80+ Gold Certified Semi-modular ATX Power Supply (BN294)	be quiet!	ATX	80+ Gold	600 W	150 mm	Semi	Black	ATX	No	0	1	0	0	4	0	6	3	€89.90	https://fi.pcpartpicker.com/product/F9ddnQ/be-quiet-pure-power-11-600-w-80-gold-certified-semi-modular-atx-power-supply-bn294
127	Fractal Design Ion Gold 550 W 80+ Gold Certified Fully Modular ATX Power Supply (FD-P-IA2G-550)	Fractal Design	ATX	80+ Gold	550 W	150 mm	Full	Black	ATX	No	0	1	0	0	2	0	6	3	€55.00	https://fi.pcpartpicker.com/product/7wgFf7/fractal-design-ion-gold-550-w-80-gold-certified-fully-modular-atx-power-supply-fd-p-ia2g-550
128	Silverstone Strider Platinum S 1000 W 80+ Platinum Certified Fully Modular ATX Power Supply (SST-ST1000-PTS)	Silverstone	ATX	80+ Platinum	1000 W	140 mm	Full	Black	ATX	No	0	2	0	0	8	0	8	6	€199.90	https://fi.pcpartpicker.com/product/QGrmP6/silverstone-strider-platinum-s-1000-w-80-platinum-certified-fully-modular-atx-power-supply-sst-st1000-pts
129	Fractal Design Ion SFX 500G 500 W 80+ Gold Certified Fully Modular SFX Power Supply (FD-PSU-ION-SFX-500G-BK)	Fractal Design	SFX	80+ Gold	500 W	125 mm	Full	Black	SFX12V	No	0	1	0	0	2	0	4	2	€98.00	https://fi.pcpartpicker.com/product/VMCFf7/fractal-design-ion-sfx-l-500-w-80-gold-certified-fully-modular-sfx-power-supply-fd-psu-ion-sfx-500g-bk
130	Phanteks Revolt X 1000 W 80+ Platinum Certified Fully Modular ATX Power Supply (PH-P1000PS)	Phanteks	ATX	80+ Platinum	1000 W	170 mm	Full	Black / Silver	ATX	No	0	4	0	0	8	0	16	3	€239.00	https://fi.pcpartpicker.com/product/KMx2FT/phanteks-revolt-x-1000w-80-platinum-certified-fully-modular-atx-power-supply-ph-p1000ps
131	SeaSonic B12 BC 550 W 80+ Bronze Certified ATX Power Supply (B12-BC-550)	SeaSonic	ATX	80+ Bronze	550 W	140 mm	No		ATX	No	0	1	0	0	2	0	6	3	€59.90	https://fi.pcpartpicker.com/product/pBRYcf/seasonic-b12-bc-550-w-80-bronze-certified-atx-power-supply-b12-bc-550
132	Fractal Design Ion+ 760P 760 W 80+ Platinum Certified Fully Modular ATX Power Supply (FD-PSU-IONP-760P-BK)	Fractal Design	ATX	80+ Platinum	760 W	150 mm	Full	Black	ATX	No	0	2	0	0	6	0	10	4	€139.90	https://fi.pcpartpicker.com/product/fdXYcf/fractal-design-ion-760-w-80-platinum-certified-fully-modular-at-power-supply-fd-psu-ionp-760p-bk
133	SilentiumPC Supremo FM2 750 W 80+ Gold Certified Fully Modular ATX Power Supply (SPC169)	SilentiumPC	ATX	80+ Gold	750 W	160 mm	Full	Black	ATX	No	0	2	0	0	4	0	9	3	€99.90	https://fi.pcpartpicker.com/product/kMDkcf/silentiumpc-supremo-fm2-750-w-80-gold-certified-fully-modular-atx-power-supply-spc169
134	be quiet! Pure Power 11 700 W 80+ Gold Certified ATX Power Supply (BN295)	be quiet!	ATX	80+ Gold	700 W	150 mm	No	Black	ATX	No	0	1	0	0	4	0	6	3	€104.90	https://fi.pcpartpicker.com/product/y4TPxr/be-quiet-pure-power-11-700-w-80-gold-certified-atx-power-supply-bn295
135	be quiet! Pure Power 11 700 W 80+ Gold Certified ATX Power Supply (BN295)	be quiet!	ATX	80+ Gold	700 W	150 mm	No	Black	ATX	No	0	1	0	0	4	0	6	3	€104.90	https://fi.pcpartpicker.com/product/y4TPxr/be-quiet-pure-power-11-700-w-80-gold-certified-atx-power-supply-bn295
136	be quiet! System Power 9 700 CM 700 W 80+ Bronze Certified Semi-modular ATX Power Supply (BN303)	be quiet!	ATX	80+ Bronze	700 W	140 mm	Semi	Black	ATX	No	0	1	0	0	4	0	10	2	€96.90	https://fi.pcpartpicker.com/product/HHRgXL/be-quiet-system-power-9-cm-700-w-80-bronze-certified-semi-modular-atx-power-supply-bn303
137	be quiet! Straight Power 11 550 W 80+ Platinum Certified Fully Modular ATX Power Supply (BN640)	be quiet!	ATX	80+ Platinum	550 W	160 mm	Full	Black	ATX	No	0	2	0	0	4	0	9	3	€148.00	https://fi.pcpartpicker.com/product/4kyqqs/be-quiet-straight-power-11-550-w-80-platinum-certified-fully-modular-atx-power-supply-bn640
138	Phanteks Revolt Pro 850 W 80+ Gold Certified Fully Modular ATX Power Supply (PH-P850GC)	Phanteks	ATX	80+ Gold	850 W	170 mm	Full	Silver / Black	ATX	No	0	2	0	0	8	0	14	3	€139.00	https://fi.pcpartpicker.com/product/DKw7YJ/phanteks-revolt-pro-850-w-80-gold-certified-fully-modular-atx-power-supply-ph-p850gc
139	Phanteks AMP 850 W 80+ Gold Certified Fully Modular ATX Power Supply (PH-P850G)	Phanteks	ATX	80+ Gold	850 W	140 mm	Full	Black	ATX	No	0	2	0	0	6	0	10	5	€149.90	https://fi.pcpartpicker.com/product/MPQcCJ/phanteks-amp-850-w-80-gold-certified-fully-modular-atx-power-supply-ph-p850g
140	Phanteks Revolt Pro 1000 W 80+ Gold Certified Fully Modular ATX Power Supply (PH-P1000GC)	Phanteks	ATX	80+ Gold	1000 W	170 mm	Full	Silver / Black	ATX	No	0	2	0	0	8	0	14	3	€174.90	https://fi.pcpartpicker.com/product/wp66Mp/phanteks-revolt-pro-850-w-80-gold-certified-fully-modular-atx-power-supply-ph-p1000gc
141	SeaSonic B12 BC 750 W 80+ Bronze Certified ATX Power Supply (B12-BC-750)	SeaSonic	ATX	80+ Bronze	750 W	140 mm	No		ATX	No	0	2	0	0	4	0	6	3	€76.90	https://fi.pcpartpicker.com/product/gBRYcf/seasonic-b12-bc-750-w-80-bronze-certified-atx-power-supply-b12-bc-750
142	SeaSonic PRIME 600 Titanium 600 W 80+ Titanium Certified Fully Modular Fanless ATX Power Supply (SSR-600TL)	SeaSonic	ATX	80+ Titanium	600 W	170 mm	Full	Black	ATX	Yes	0	2	0	0	4	0	6	5	€219.90	https://fi.pcpartpicker.com/product/rbvbt6/seasonic-prime-titanium-600w-80-titanium-certified-fully-modular-fanless-atx-power-supply-ssr-600tl
143	SeaSonic B12 BC 850 W 80+ Bronze Certified ATX Power Supply (B12-BC-850)	SeaSonic	ATX	80+ Bronze	850 W	140 mm	No		ATX	No	0	2	0	0	4	0	6	3	€94.00	https://fi.pcpartpicker.com/product/qRt9TW/seasonic-b12-bc-850-w-80-bronze-certified-atx-power-supply-b12-bc-850
144	be quiet! Pure Power 11 CM 400 W 80+ Gold Certified Semi-modular ATX Power Supply (BN296)	be quiet!	ATX	80+ Gold	400 W	160 mm	Semi	Black	ATX	No	0	1	0	0	2	0	5	2	€71.90	https://fi.pcpartpicker.com/product/gt22FT/be-quiet-pure-power-11-cm-400-w-80-gold-certified-semi-modular-atx-power-supply-bn296
145	be quiet! Straight Power 11 450W 450 W 80+ Gold Certified Fully Modular ATX Power Supply (BN280)	be quiet!	ATX	80+ Gold	450 W	160 mm	Full		ATX	No	0	1	0	0	2	0	8	6	€105.00	https://fi.pcpartpicker.com/product/FF8j4D/be-quiet-straight-power-11-450w-80-gold-certified-fully-modular-atx-power-supply-bn280
146	Thermaltake Smart RGB 230V 500 W 80+ Certified ATX Power Supply (PS-SPR-0500NHSAWE-1)	Thermaltake	ATX	80+	500 W	140 mm	No	Black	ATX	No	0	1	0	0	2	0	5	4	€54.00	https://fi.pcpartpicker.com/product/J3fhP6/thermaltake-smart-rgb-230v-500-w-80-certified-atx-power-supply-ps-spr-0500nhsawe-1
147	SeaSonic FOCUS 550 W 80+ Platinum Certified Fully Modular ATX Power Supply (FOCUS-PX-550)	SeaSonic	ATX	80+ Platinum	550 W	140 mm	Full	Black	ATX	No	0	2	0	0	2	0	10	3	€111.90	https://fi.pcpartpicker.com/product/8jZzK8/seasonic-focus-550-w-80-platinum-certified-fully-modular-atx-power-supply-focus-px-550
